Field,Transect,ForestStatus,Burned,FirstYearAfterBurning,YearAbandoned,LastCrop,In_E014,In_E054,FirstYearSurveyed_E014,FirstYearSurveyed_E054
24,W,HF,0,NA,1968,soybeans,1,1,1983,1988
24,Y,HF,0,NA,1968,soybeans,1,1,1983,1988
26,G,HF,0,NA,1957,soybeans,1,1,1983,1988
26,R,HF,0,NA,1957,soybeans,1,1,1983,1988
26,W,HF,0,NA,1957,soybeans,1,1,1983,1988
26,Y,HF,0,NA,1957,soybeans,1,1,1983,1988
76,R,HF,0,2009,1952,soybeans,1,0,1983,NA
77,G,HF,0,2008,1952,soybeans,1,1,1983,1988
4,W,LF,0,2009,1971,rye,1,1,1983,1988
4,Y,LF,0,2009,1971,rye,1,1,1983,1988
32,G,LF,0,2007,1941,corn,1,0,1983,NA
32,R,LF,0,2007,1941,corn,1,0,1983,NA
35,G,LF,0,2007,1941,oats,1,1,1983,1988
35,R,LF,0,2007,1941,oats,1,1,1983,1988
35,Y,LF,1,2007,1941,oats,1,1,1983,1988
76,G,LF,0,2009,1952,soybeans,1,0,1983,NA
76,W,LF,1,2009,1952,soybeans,1,0,1983,NA
76,Y,LF,1,2009,1952,soybeans,1,0,1983,NA
77,R,LF,0,2008,1952,soybeans,1,1,1983,1988
4,G,NF,1,2009,1971,rye,1,1,1983,1988
4,R,NF,1,2009,1971,rye,1,1,1983,1988
5,G,NF,0,2009,1947,oats,1,1,1983,1988
5,R,NF,0,2009,1947,oats,1,1,1983,1988
5,W,NF,1,2009,1947,oats,1,1,1983,1988
5,Y,NF,1,2009,1947,oats,1,1,1983,1988
10,G,NF,0,2009,1997,corn,1,1,2002,2001
10,R,NF,0,2009,1997,corn,1,1,2002,2001
10,W,NF,1,2009,1997,corn,1,1,2002,2001
10,Y,NF,1,2009,1997,corn,1,1,2002,2001
21,G,NF,0,2007,1957,soybeans,1,0,1983,NA
21,R,NF,0,2007,1957,soybeans,1,0,1983,NA
21,W,NF,1,2007,1957,soybeans,1,0,1983,NA
21,Y,NF,1,2007,1957,soybeans,1,0,1983,NA
24,G,NF,1,2007,1968,soybeans,1,1,1983,1988
24,R,NF,1,2007,1968,soybeans,1,1,1983,1988
27,G,NF,1,2007,1947,unknown,1,0,1983,NA
27,R,NF,1,2007,1947,unknown,1,0,1983,NA
27,W,NF,0,2007,1947,unknown,1,0,1983,NA
27,Y,NF,0,2007,1947,unknown,1,0,1983,NA
28,G,NF,1,2009,1991,rye,1,1,1994,1992
28,R,NF,1,2009,1991,rye,1,1,1994,1992
28,W,NF,0,2009,1991,rye,1,1,1994,1992
28,Y,NF,0,2009,1991,rye,1,1,1994,1992
32,W,NF,1,2007,1941,corn,1,0,1983,NA
32,Y,NF,1,2007,1941,corn,1,0,1983,NA
35,W,NF,1,2007,1941,oats,1,1,1983,1988
39,G,NF,1,2007,1975,rye,1,1,1983,1988
39,R,NF,1,2007,1975,rye,1,1,1983,1988
39,W,NF,0,2007,1975,rye,1,1,1983,1988
39,Y,NF,0,2007,1975,rye,1,1,1983,1988
40,G,NF,0,2007,1972,rye,1,0,1983,NA
40,R,NF,0,2007,1972,rye,1,0,1983,NA
40,W,NF,1,2007,1972,rye,1,0,1983,NA
40,Y,NF,1,2007,1972,rye,1,0,1983,NA
41,G,NF,0,2007,1982,rye,1,1,1983,1988
41,R,NF,0,2007,1982,rye,1,1,1983,1988
41,W,NF,1,2007,1982,rye,1,1,1983,1988
41,Y,NF,1,2007,1982,rye,1,1,1983,1988
44,G,NF,0,2008,1961,soybeans,1,0,1983,NA
44,R,NF,0,2008,1961,soybeans,1,0,1983,NA
44,W,NF,1,2008,1961,soybeans,1,0,1983,NA
44,Y,NF,1,2008,1961,soybeans,1,0,1983,NA
45,G,NF,0,2008,1943,corn,1,1,1983,1988
45,R,NF,0,2008,1943,corn,1,1,1983,1988
45,W,NF,1,2008,1943,corn,1,1,1983,1988
45,Y,NF,1,2008,1943,corn,1,1,1983,1988
47,G,NF,0,2007,1959,soybeans,1,0,1983,NA
47,R,NF,0,2007,1959,soybeans,1,0,1983,NA
47,W,NF,1,2007,1959,soybeans,1,0,1983,NA
47,Y,NF,1,2007,1959,soybeans,1,0,1983,NA
53,G,NF,0,2008,1961,soybeans,1,1,1983,1988
53,R,NF,0,2008,1961,soybeans,1,1,1983,1988
53,W,NF,1,2008,1961,soybeans,1,1,1983,1988
53,Y,NF,1,2008,1961,soybeans,1,1,1983,1988
70,G,NF,0,2009,1955,soybeans,1,1,1983,1988
70,R,NF,0,2009,1955,soybeans,1,1,1983,1988
70,W,NF,1,2009,1955,soybeans,1,1,1983,1988
70,Y,NF,1,2009,1955,soybeans,1,1,1983,1988
72,G,NF,1,2007,1927,potato,1,1,1983,1988
72,R,NF,1,2007,1927,potato,1,1,1983,1988
72,W,NF,0,2007,1927,potato,1,1,1983,1988
72,Y,NF,0,2007,1927,potato,1,1,1983,1988
77,W,NF,1,2008,1952,soybeans,1,1,1983,1988
77,Y,NF,1,2008,1952,soybeans,1,1,1983,1988
600,G,NF,0,NA,2014,corn,1,1,2016,2016
600,R,NF,0,NA,2014,corn,1,1,2016,2016
600,W,NF,0,NA,2014,corn,1,1,2016,2016
600,Y,NF,0,NA,2014,corn,1,1,2016,2016
601,G,NF,0,NA,2015,corn,1,1,2016,2016
601,R,NF,0,NA,2015,corn,1,1,2016,2016
601,W,NF,0,NA,2015,corn,1,1,2016,2016
601,Y,NF,0,NA,2015,corn,1,1,2016,2016
LS,G,NF,0,NA,1987,rye,0,1,NA,1988
LS,R,NF,0,NA,1987,rye,0,1,NA,1988
LS,W,NF,0,NA,1987,rye,0,1,NA,1988
LS,Y,NF,0,NA,1987,rye,0,1,NA,1988