experiment;temporal_years;spatial_plots;type;sample_size_m2;sample_extent_m2;plot_size;organism_size;organism_age
e001/2;32;54;extent;0.3;23.62963;16;0.0001;5
e001/2;25;161;extent;0.3;23.62963;16;0.0001;5
e001/2;24;169;extent;0.3;23.62963;16;0.0001;5
e001/2;23;195;extent;0.3;23.62963;16;0.0001;5
e001/2;22;198;extent;0.3;23.62963;16;0.0001;5
e001/2;20;252;extent;0.3;23.62963;16;0.0001;5
e001/2;34;87;range;0.3;23.62963;16;0.0001;5
e001/2;32;195;range;0.3;23.62963;16;0.0001;5
e001/2;30;198;range;0.3;23.62963;16;0.0001;5
e001/2;27;252;range;0.3;23.62963;16;0.0001;5
e014;8;1899;extent;0.5;28.125;0.5;0.0001;5
e014;7;1900;extent;0.5;28.125;0.5;0.0001;5
e014;6;2000;extent;0.5;28.125;0.5;0.0001;5
e014;4;2100;extent;0.5;28.125;0.5;0.0001;5
e014;2;2288;extent;0.5;28.125;0.5;0.0001;5
e014;1;2776;extent;0.5;28.125;0.5;0.0001;5
e014;34;1900;range;0.5;28.125;0.5;0.0001;5
e014;23;2000;range;0.5;28.125;0.5;0.0001;5
e014;15;2100;range;0.5;28.125;0.5;0.0001;5
e014;7;2288;range;0.5;28.125;0.5;0.0001;5
e014;1;2776;range;0.5;28.125;0.5;0.0001;5
e120;20;154;extent;0.6;183.9543;81;0.0001;5
e120;19;308;extent;0.6;183.9543;81;0.0001;5
e120;12;326;extent;0.6;183.9543;81;0.0001;5
e120;11;672;extent;0.6;183.9543;81;0.0001;5
e120;20;154;range;0.6;183.9543;81;0.0001;5
e120;12;163;range;0.6;183.9543;81;0.0001;5
e120;11;168;range;0.6;183.9543;81;0.0001;5
NutNet;10;329;extent;1;25;25;0.0001;5
NutNet;9;714;extent;1;25;25;0.0001;5
NutNet;8;882;extent;1;25;25;0.0001;5
NutNet;7;1084;extent;1;25;25;0.0001;5
NutNet;6;1210;extent;1;25;25;0.0001;5
NutNet;5;1316;extent;1;25;25;0.0001;5
NutNet;4;1659;extent;1;25;25;0.0001;5
NutNet;3;1870;extent;1;25;25;0.0001;5
NutNet;2;2127;extent;1;25;25;0.0001;5
NutNet;1;2963;extent;1;25;25;0.0001;5
NutNet;11;30;range;1;25;25;0.0001;5
NutNet;10;329;range;1;25;25;0.0001;5
NutNet;9;714;range;1;25;25;0.0001;5
NutNet;8;882;range;1;25;25;0.0001;5
NutNet;7;1084;range;1;25;25;0.0001;5
NutNet;6;1240;range;1;25;25;0.0001;5
NutNet;5;1346;range;1;25;25;0.0001;5
NutNet;4;1659;range;1;25;25;0.0001;5
NutNet;3;1870;range;1;25;25;0.0001;5
NutNet;2;2127;range;1;25;25;0.0001;5
NutNet;1;2963;range;1;25;25;0.0001;5
jena;15;96;extent;0.2;104.75;104.75;0.0001;5
jena;5;96;extent;0.4;400;400;0.0001;5
jena;2;96;extent;0.3;400;400;0.0001;5
jena;1;96;extent;0.1;400;400;0.0001;5
jena;15;96;range;0.2;104.75;104.75;0.0001;5
jena;5;96;range;0.4;400;400;0.0001;5
jena;2;96;range;0.3;400;400;0.0001;5
jena;1;96;range;0.1;400;400;0.0001;5